Material,Sintering,Structure,er,Qf,f,Tcf,Reference
20MgO-20La2O3-60B2O3+40 wt% Al 2O3,950,Composite,8.1,19000,16.1,,125
(Mg0.95 Zn 0.05)Al 2O4,1580,Spinel cubic Fd3m,8.1,165000,,-68,159
Ag2MoO4,450,Cubic Fd3-m,8.1,17000,,-133,160
MgTiO 3-CaTiO 3 (MMT-20) + SiO 2-B2O3 -BaO,875,Composite,8.2,3000,7,,161
BaWO4 +0.5 wt% B 2O3,950,Scheelite Tetragonal I4 1/a,8.2,32700,,-18,"43,44"
20ZnO-20La2O3-60B2O3+40 wt% Al 2O3,950,Composite,8.2,20000,17.1,,125
CaMgSi 2O6+15 wt% LMZBS glass,900,Monoclinic C2/c,8.2,32000,10.15,-48,149
Mg0.6 Zn 0.4 Al 2O4,,Spinel Cubic Fd3m,8.2,93000,,,158
LiMg0.9 Zn 0.1PO4+0.05 Vf TiO 2,925,"Orthorhombic Pmnb
Type Olivine",8.2,80200,,-39,73
Nd 2Mo 3O12,945,Monoclinic C2/c,8.2,80000,,-60,162
Mg2V 2O7+6 mol %Li 2CO3,800,Monoclinic P2 1/c,8.2,70600,,-35,163
LiInSiO 4,1150,Orthorhombic Pnma,8.2,12600,,-55,164
Zn 2(Sn 1-xSi x)O4 x=0.07,1175,,8.2,55500,,-120,165
BaMgV 2O7,830,Orthorhombic,8.2,37600,11.7,-35,166
YbPO4,1600,Xenotime tetragonal I4 1/amd,8.2,71600,,-28,133
70 wt% La2O3-B2O3 +30 wt% Al 2O3,850,Composite,8.3,5500,17.2,,69
Li 2CaSiO 4+1 wt% BBS,925,Tetragonal I-42m,8.3,10000,,,12
Y2BaCuO5 (CIP),,Orthorhombic Pbnm,8.3,53300,,-40,113
20ZnO-20La2O3-60B2O3+40 wt% Al 2O3,950,Composite,8.3,18600,17,,125
Mg0.75 Ni 0.25 Al 2O4,,Spinel cubic Fd3m,8.3,130000,15.4,-53,167
CaMgSi 2O6,1300,Monoclinic C2/c,8.3,53000,10.27,-45,149
Mg0.4 Zn 0.6 Al 2O4,,Spinel cubic Fd3m,8.3,93000,,,158
