Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Sr 2MgSi 2O7,1550,Akermite Tetragonal P4-2 1m,8.3,55000,,-48,121
20ZnO-20La2O3-60B2O3+40 wt% Al 2O3,850,Composite,8.3,1100,17.1,,125
LiInSiO 4+1 wt% LMZBS,1100,Orthorhombic Pnma,8.4,22000,,-45,164
Ca3SnSi 2O9,1525,Cuspidine P2 1/c,8.4,92000,,-60,168
Mg0.2 Zn 0.8 Al 2O4,,Spinel cubic Fd3m,8.4,98000,,,158
Sm2SiO 5,1500,Monoclinic P2 1/c,8.4,64000,,-37,169
Mg2SnO4,1550,Cubic spinel Fd3m,8.4,55100,,-62,170
MgAl 2O4 (SPS),1325,Spinel cubic Fd3m,8.4,54000,,-74,171
(1-x)Ba3(VO4) 2-xMg2SiO 4 (x=0.65),1200,Composite,8.4,52200,,-7,172
80 wt% La2O3-B2O3 +20 wt% Al 2O3,850,Composite,8.4,9800,17.6,,69
CaSiO 3,1300,Wollastonite Monoclinic P2 1/a,8.4,16000,10,,173
Ca3SnSi 2O9,1400,Monoclinic P2 1/c,8.4,93300,,-70,173
Sr 2ZnSi 2O7,1475,"Akermite Tetragonal
P4-2 1m",8.4,105000,,-52,121
-Ca2P 2O7,1150,"Tetragonal P4 1
type",8.4,53500,,-53,95
Ca2Al 2SiO 7,1500,Tetragonal P4-2 1m,8.4,33000,,-34,101
0.86(Mg0.4 Zn 0.6 ) 2SiO 4-0.14CaTiO 3,1180,Composite,8.4,28100,,-6,174
Yb 2Ba(Cu 0.5 Ni 0.5)O5,,,8.5,13300,,-46,175
TbPO4,1650,Tetragonal I4 1/amd,8.5,20100,,-17,133
MgAl 2O4,1650,Spinel Cubic Fd3m,8.5,105000,,-63,176
Li 2MgSiO 4,,Orthorhombic,8.5,30000,15,,107
Li 2O-B2O3-SiO 2 frit glass,799,Glass,8.5,1800,,-157,177
"MgTiO 3-CaTiO 3 (MMT)-20 -ZnO-B2O3-SiO 2
(44.57:17.32:6.95:30.16)",875,Composite,8.5,7000,7,6,161178
ZnAl 2O4,1375,Spinel Cubic Fd3m,8.5,56000,12.3,-79,179
"ZnO-B2O3-SiO 2-MMT-20
(44.57:17.32:6.95:30.16)",875,Composite,8.5,3000,7,6,178
Mg4Nb 2O9 (Precipitation),950,Corundom type P-3c1,8.5,50000,,,180
CaMgSi 2O6+1 wt% LBS glass,1300,Monoclinic C2/c,8.5,64000,10.27,-45,149
0.84Al 2O3-0.16TiO 2 +8 wt%MCAS glass,1250,Composite,8.5,9900,,-2,181
MnMoO 4,900,Wolframite monoclinic C2/m,8.5,54100,,-74,104
Mn 2SiO 4,1100,Orthorhombic Pbnm,8.5,50000,,-90,70182
Ca0.8 Sr 0.2 SnO3,1540,"Perovskite
Pbnm",8.5,6700,,-44,183
13CaO-19La2O3-68B2O3 +40 wt% Al 2O3,,Composite,8.5,8100,,,117
"(Zn 0.8Mg0.2 ) 2SiO 4-TiO2+3 wt% Li 2O-B2O 3-SiO 2
glass",870,Composite,8.5,11500,,0,184
(Mg0.93 Zn 0.07) 2SnO4,1550,Cubic spinel Fd3m,8.5,186100,,-61,185
Mg0.8 Co 0.2 Al 2O4,1475,Spinel cubic Fd3m,8.5,50000,,-60,186
CaW1-xTe xO4 (x=0.15),900,Scheelite I4 1/a,8.5,44000,,,187
Sr 2ZnSi 2O7,1475,P-42 1/m Hardystonite,8.5,105000,,-52,121140
Li 2Ca2Mo 3O12,630,Lyonsite orthorhombic,8.5,108000,13.2,-89,188
Y2BaCu 0.25 Ni 0.75 O5,,Orthorhombic Immm,8.6,31290,12.5,-36,51
0.88Al 2O3-0.12TiO 2+ 2 wt% MCAS glass,1250,Composite,8.6,9580,,5,189
(Mg1/2 Zn 1/2 )Al 2O4,1600,Spinel Cubic Fd3m,8.6,95000,,-52,190
Ca2SiO 4,1450,Orthorhombic P2 1/n,8.6,26100,,-89,191
SrW1-xTe xO4 (x=0.2),800,Scheelite Tetragonal I4 1/a,8.6,38400,,,187
SrW1-xTe xO4 (x=0.0),900,Scheelite Tetragonal I4 1/a,8.6,37900,,-57,187
0.96Sr 2Al 2SiO 7-0.04CaTiO 3,1500,Tetragonal P-42 1m,8.6,20400,,9,109
ZnMoO 4,800,Wolframite Triclinic P-1,8.7,49900,,-87,104
CaWO4 +0.5 wt% Bi 2O3+9 wt% H3BO3,850,Scheelite Tetragonal I4 1/a,8.7,70220,,-15,192
CaWO4,1200,Scheelite Tetragonal I4 1/a,8.7,75000,,-54,138
(Al 1/2 Ta1/2 )O2,1600,Tetragonal P4/nmm,8.7,60800,,-55,193
Ca-Al-B-Si-O+Al 2O3,870,Composite,8.7,900,3,,194
NdPO4,1300,Monoclinic P2 1/n,8.7,59500,,-47,133
(Mg0.95 Ni 0.005 ) 2SnO4,1550,Cubic Spinel Fd3m,8.7,103100,,-63,195
ZnAl 2O4SPS,,Spinel Cubic Fd3m,8.7,57000,,,139
SrW1-xTe xO4 (x=0.1),800,Scheelite I4 1/a,8.7,40300,,,187
(Mg1/2 Co 1/2 )Al 2O4,1600,Spinel Cubic Fd3m,8.8,107300,,-54,196
Sr 2MnSi 2O7,1375,Akermite Tetragonal P4-2 1m,8.8,32000,,-59,121
Ca0.5 Sr 0.5 Zr 4P 6O24,1400,Trigonal R-3,8.8,1200,11,-32,197
Li 2Mo 4O13,520,Anorthic P-1,8.8,7700,10.7,-66,26
xMgO-(1-x)B 2O3(x=0.95),1350,Orthorhombic Pnmn,8.8,432000,,-55,86
BaO-ZnO-SiO 2,1275,Composite,8.8,34000,,-58,121
Sr 2ZnSi 2O7+2 wt%SrTiO 3,1450,Akermite Tetragonal P4-2 1m,8.8,60000,,-13,121
0.4Ba3(VO4) 2-0.6Mg2SiO 4,1200,Composite,8.8,55900,,-1,172
(Zn 0.8Mg0.2 ) 2SiO 4-TiO2+3 wt% Li 2O-B2O 3,900,Mixed phases,8.8,15500,,18,198
CaO-Al 2O3-SiO 2-B2O3+Al 2O3,900,Composite,8.8,1500,,,199
Sr 2CoSi 2O7,1375,Akermite Tetragonal P4-2 1m,8.9,34000,,-57,121
"ZnO-B2O3-SiO 2-MMT-20
(46.34:17.09:6.85:29.72)",900,Composite,8.9,7000,8,-24,178
CaGeO3,1200,Orthorhombic Pbnm,8.9,32200,10,,200
"ZnO-B2O3-SiO 2-MMT-
20(44.97:17.2:6.9:29.93)",900,Composite,8.9,810,8,-15,161178
"ZnO-B2O3-SiO 2-MMT-
20(46.34:17.09:6.85:29.72)",900,Composite,8.9,800,8,-24,161178
ZnTiO 3+1 wt% B 2O3,900,Trigonl R-3,8.9,49000,,-32,201
"CaSiO 3+1 wt% Al 2O3 +1.5
wt% CuO+10 wt% CaTiO3 wt% Li2CO3+0.2",900,Composite,8.9,19800,,-1,202
Mg(Al 1-xGa x) 2O4; x=0.6,1485,Cubic Fd3m,8.9,107000,14.8,-16,203
xMgO-(1-x)B 2O3(x=0.97),1350,Orthorhombic Pnmn,9,547700,,-55,86
Ca1-xCd xMoO4 (x=0.2),,Scheelite Tetragonal I4 1/a,9,32500,,-40,150
BaWO4,,Scheelite Tetragonal I4 1/a,9,32200,,,204
BaMoO4,900,Scheelite Tetragonal I4 1/a,9,37100,,-90,205
SrWO4,,Scheelite Tetragonal I4 1/a,9,62600,,,204
(1-x)Ba3(VO4) 2-xMg2SiO 4 (x=0.55),1175,Composite,9,52500,,0,172
"ZnO-B2O3-SiO 2-MMT-
20(49.21:16.15:6.49:28.15)",900,Composite,9,7000,8,-62,178
Co 3O4-Nb 2O5-TiO2,1010,Mixture,9,41000,7.5,-59,206
MgTiO 3-CaTiO 3-ZnO-B2O3-SiO 2,,Composite,9,7000,7,-55,178
PbO:B 2O3:SiO 2 (30:60:10) glass,,Glass,9,1700,13.5,-15,81
5ZnO-Ta2O5-TiO2,1150,Composite,9,9000,7.9,-45,206
0.9CaWO 4-0.1Li 2WO4,1150,Composite,9,117600,,-55,207
Yb 2BaNiO5,,Orthorhombic Pnma,9.1,44600,,-37,137
K2O-B2O3-SiO 2-CaO-SrO-BaO (glass) + Al 2O3,900,Composite,9.1,600,0.5,0,208
Yb 2BaZnO5,,Orthorhombic Pnma,9.1,44600,,-38,137
DyPO 4,1650,Tetragonal I4 1/amd,9.1,28600,,-17,133
-Ca3(PO4) 2,1500,Monoclinic P2 1/a,9.1,22000,,-97,209
xMgO-(1-x)B 2O3(x=0.96),1350,orthorhombic Pnmn,9.1,473890,,-57,86
CaSnSiO 5,1525,Monoclinic A2/a,9.1,61000,,35,210
Mg3(VO4) 2,950,Orthorhombic Cmca,9.1,64100,,-93,50
Zn 2SiO 4+11 wt% TiO 2,1200,Composite,9.1,150800,,-1,60
0.89Zn 2SiO 4-0.11TiO 2,,Composite,9.1,118000,,1,211
Ba3(PO4) 2-0.2BaWO 4 +0.8wt% B 2O3,925,Composite,9.1,45500,,-2,212
0.95Sr 2Al 2SiO 7-0.05CaTiO 3,1475,"Gehlenite tetragonal
P-42 1m",9.2,14400,,24,109
BaMoO4,800,Scheelite Tetragonal I4 1/a,9.2,26600,,-17,44
CaO-MgO-SiO 2-TiO2 +1 wt% Li 2 CO3-V 2 O5,880,Composite,9.2,46200,,1.3,118
xMgO-(1-x)B 2O3(x=0.98),1350,Orthorhombic Pnmn,9.2,598370,,-54,86
Ca1-xCd xMoO4 (x=0.4),1025,Scheelite Tetragonal I4 1/a,9.2,38500,,-40,150
BaO:B2O3:SiO 2 (50:40:10) glass,799,Glass,9.2,1220,13.1,-43,81
Ca5Mg4(VO4) 6,800,Cubic garnet Ia-3d,9.2,53300,10.6,-50,214
Y2BaCu 0.9 Mg0.1 O5,1250,Orthorhombic Pbnm,9.2,36798,,-36,113
"(1-x)LiYW2O8-xBaWO4 +y wt%B 2O3 (x=0.48
y=0.5)",930,Mixed phases,9.2,28100,,-52,43
"0.88CaMgSi 2O5-0.12CaTiO 3 +1 wt% Li 2 CO3-
V 2O5",880,Composite,9.2,46200,,1,118
SmBO3,,Vaterite Hexagonal P6 3/mmc,9.3,11000,,,123
LiMgPO 4 +0.1 vfTiO 2,950,Orthorhombic Pmnb,9.3,45400,,-12,58
0.84MgAl 2O4-0.16TiO 2,1410,Composite,9.3,82200,10.1,-27,170
BaMoO4,900,Scheelite Tetragonal I41/a,9.3,37200,,-79,104
Zn 2SiO 4 +11 wt% TiO 2,1250,Composite,9.3,113000,,1,64
xMgO-(1-x)B 2O3(x=0.993),1350,Orthorhombic Pnmn,9.3,773700,,-55,86
xMgO-(1-x)B 2O3(x=0.995),1350,Orthorhombic Pnmn,9.3,551700,,-56,86
xMgO-(1-x)B 2O3(x=0.999),1350,Cubic Fm3m,9.3,380400,,-56,86
Ca(Sn 0.4 Si 0.6 )O3,1450,Monoclinic P2 1/a,9.3,63000,,-52,143
0.8ZnAl 2O4-0.2Co 2TiO4,,Spinal cubic Fd3m,9.3,147000,,-65,215
Ba3(VO4) 2+40 wt% Zn 1.87SiO 3.87,1100,Composite,9.3,23000,,0,216
Zn 2SnO4+1 wt% B 2O3,975,Cubic Fd3m,9.3,62000,,-59,217
Al 2O3+20 wt% CaSiO 3,1325,Composite,9.4,13700,,,218
Ba3MgSb 2O9,,"Complex perovskite hexagonal
P6 3/mmc",9.4,6700,8.98,,219
0.84Al 2O3-0.16TiO 2 +4 wt% MCAS glass,1250,Composite,9.4,8200,,10,181
Y2BaCuO5,,Orthorhombic Pbnm,9.4,3830,12,-35,220
-Ca3(PO4) 2 Fluoro apatite,1500,Trigonal R-3m,9.4,15200,,-97,209
0.88CaMgSi 2O5-0.12CaTiO 3,1300,Composite,9.4,50800,,6,118
Mg3(VO4) 2,1050,Orthorhombic Cmca,9.4,65500,,-90,50
MgCo 2(VO4) 2,900,Orthorhombic Cmca,9.4,78900,,-95,221
SrMoO 4,1050,Scheelite Tetragonal I4 1/a,9.5,61000,,-67,104
La2O3-2B2O3-0.5ZnO+La2O3-3B2O3-0.5ZnO,900,Glass,9-10,72000,13,,154
BaO:B2O3:SiO 2 (50:30:20) glass,,Glass,9.5,1256,13.5,-95,81
Y2BaCu 0.8 Mg.0.2 O5,,Orthorhombic Pbnm,9.5,42300,-38,,113
(1-x)Ba3(VO4) 2-xMg2SiO 4 (x=0.5),1175,Composite,9.5,46600,,6,172
Li 3 AlMo 3O12,570,Lyonsite Psudohexagonal,9.5,50000,14.1,-73,188
Ca1-xCd xMoO4 (x=0.6),1000,Scheelite Tetragonal I4 1/a,9.5,35700,,-48,150
Sr 2SiO 4,1575,Monoclinic P2 1/n,9.5,19100,,-205,191
CaMoO4-xY2O3-xLi 2O x=0.306,775,Composite,9.5,63200,,7,222
MgGa2O4,1410,Spinel Fd3m,9.5,117000,14.7,-4,223
LiMgVO 4,700,Orthorhombic Cmcm,9.5,34800,,-146,224
LiMg0.9 Zn 0.1PO4+0.1 Vf TiO 2,950,"Orthorhombic
type",9.5,69500,,-15,73
CaWO4 +0.12 wt% BaCu(B 2O5),875,,9.5,,,-41,225
0.79ZnAl 2O4-0.21 Mg2TiO4,1550,Composite,9.6,160800,,-65,226
0.79ZnAl 2O4-0.21Mn 2TiO4,1300,Composite,9.6,30630,,,139
0.96 MgO-0.04LiF,950,Cubic Fm3m,9.6,282230,,-63,227
Ba3CaSb 2O9,,"Complex
Monoclinic C2/c",9.6,3400,9.2,,219
SrDy4Si 3O13,1475,Hexagonal apatite P6 3/m,9.6,9200,,28,228
BaO:B2O3:SiO 2 (50:20:30) glass,,Glass,9.6,1310,14.3,-114,81
Ba3V 4O13,600,Monoclinc I2/a,9.6,56000,,-42,229
Ba2V 2O7,840,Triclinic,9.6,30300,,-32,230
Zn 2(Sn 0.99 Zr 0.01 )O4,1225,Cubic Fd-3m,9.6,87000,,-51,231
RE mixPO 4,1250,Monoclinic P2 1/n,9.6,45200,13.5,-35,232
"Ca(Mg0.92 Al 0.08 )(Si 0.96 Al 0.04 ) 2O6+10 wt%
CaTiO3",1250,Mixture,9.6,32600,,-1,233
"ZnO-B2O3-SiO 2-MMT-
20(44.77:17.59:7.05:30.59)",900,Composite,9.7,7000,8,9,178
CrTaO4,,"Rutile
P4 2/mnm",9.7,1600,4,,48
Y2BaCu 0.6 Ni 0.4 O5,1270,Orthorhombic Pnma,9.7,36000,,-27,234
-Ca3(PO4) 2,1125,Rhombohedral R3C,9.7,10300,,-47,209
0.79ZnAl 2O4-0.21 Mn 2TiO4,1400,Composite,9.7,23500,,-63,226
(K0.5 Sm0.5 )MoO4,800,Monoclinic I2/b,9.7,20000,,-65,235
Al 2O3+1500 ppm MgO+300 ppm La 2O3,,,9.7,300000,,,236
0.55Ba3(VO4) 2-0.45LiMgPO 4,850,Composite,9.7,50700,,1,237
Li 3InMo 3O12,630,Lyonsite Orthorhombic Pcn,9.8,36000,15,-73,188
"CaSiO 3+1 wt% Al 2O3+10 wt% CaTiO3+1 wt%
Li 2CO3-CuO",900,Composite,9.8,19800,,-1,238
Y2BaCu 0.8 Mg.0.2 O5 CIP,1250,Orthorhombic Pbnm,9.9,49200,12.8,-40,113
(K0.5 Nd 0.5 )MoO4,760,Monoclinic I2/b,9.9,69000,,-62,235
(Mg1/2 Ca1/2 )WO4 +1 wt% Li 2WO4,950,Wolframite P2/c,9.9,30150,,-63,43
MgWO4,950,Wolframite Monoclinic P2/c,9.9,5400,,,239
0.79ZnAl 2O4-0.21 Co 2TiO4,1500,Spinel cubic Fd3m,9.9,94000,,-66,226
Ca1-xCd xMoO4 (x=0.8),925,Sheelite Tetragonal I41/a,9.9,34000,,-50,150
CaW1-xTe xO4 (x=0.05),900,Scheelite Tetragonal I4 1/a,9.9,53600,,,187
Sr 2V 2O7+1 mol% Li 2CO3,800,Anorthic P-1,9.9,73800,,-29,240
0.96CaWO 4-0.04Na2W2O7,875,Wolframite Monoclinic P2/c,9.9,64400,,,241
Nd 4Si 3O12,1450,Hexagonal P6 3/m,9.9,6300,11.7,-12,142
Zn 2(Sn 0.95 Ti 0.05 )O4,1225,,9.9,76900,,-38,242
Li(Mg1-xNi x)PO4 (x=0.05),875,Orthohombic,9.9,50800,,-1,92
LiMg0.95 Ni 0.05 PO4 +11 wt% TiO 2,875,Orthorhombic olivine type,9.9,50800,,-1,92
Na6Mo 11O36,510,Anorthic P-1,9.9,57000,,-68,9
CaWO4,1290,Wolframite Monoclinic P2/c,10,50800,,-50,239241
LiMgPO 4+0.12TiO 2,950,Composite,10,26900,,1,58
Ba3Nb 2P 4O18,1150,P-1,10,58400,,-34,243
0.83ZnAl 2O4-0.17TiO 2 +10 wt% BBSZ glass,950,composite,10,10000,,-23,244
Al 2O3,1400,Trigonal R-3c,10,634000,14,-40,245
CaW1-xTe xO4 (x=0.15),850,Scheelite Tetragonal I4 1/a,10,42000,,-61,187
0.5Ba3(VO4)-0.5Zn 1.87 SiO3.87 +3 wt%B 2O 3,,Composite,10,40800,,0.5,246
TiO2-CaAlSi 2O8,960,Composite,10,22500,,-10,148
Y2Ba(Cu 0.8 Mg0.2 )O5(CIP),,,10,49180,,-40,113
CAS-T10 glass (CaO:Al 2O3:SiO 2:TiO2:B 2O3),950,Composite,10,22500,10,-15,148
Al 2O3 +0.5 wt% TiO 2,1550,Composite,10,453000,9,,247
Al 2O3,1550,Trigonal R-3c,10,335000,,-60,247
CaO-4ZnO-Ta2O5-TiO2,1225,Mixture,10,15000,8.4,-60,206
Mg4Nb 2O9+3 wt% LiF,950,"Corundom type Hexagonal P-
3c1",10,116420,,-72,248
LiMgPO 4 +0.12 vfTiO 2,950,Orthorhombic Pmnb,10,26900,,-1,58
Mg4Ta2O9,1450,Coundom trigonal P-3c1,10,345000,,-70,249
Al 2O3+500 ppm TiO 2,,Hexagonal R-3c,10,500000,10,,250
Mg4NbSbO 9,1450,Corundom type P-3c1,10,280000,,-70,251
BaTeO3,800,Orthorhombic Pnma,10,34000,,-54,252
Sm2Si 2O7,1375,Tetragonal P4 1,10,2000,10,,90
Al 2O3+ 0.015 vf TiO 2,,Composite,10,300000,10,0,253
CaWO4,1150,Scheelite tetragonal I4 1/a,10,75000,,-24,138254
NaCa2Mg2V 3O12,915,Cubic garnet Ia3d,10,50600,,-47,255
45Vol% LiMg0.9 Zn 0.1PO4+Ba3(VO4) 2,800,Composite,10,64500,,-2,256
LiMg0.95 Co 0.05PO4+16.1 wt% TiO 2,875,Composite,10,58200,,1,102
Al 2O3,1550,Hexagonal R-3c,10.1,680000,,-60,182
Y2BaCu 0.1 Ni 0.9 O5,,Orthorhombic Immm,10.1,5830,12.3,-36,51
Mg5Nb 4O15,,"AnB n-1O3n perovskite
Orthorhombic",10.1,32300,,-24,257
CaW1-xTe xO4 (x=0.05),850,Scheelite Teragonal I4 1/a,10.1,40500,,-61,187
CaW1-xTe xO4 (x=0.2),850,Scheelite Tetragonal I4 1/a,10.1,44300,,-60,187
Ca1-xCd xMoO4 (x=1),900,Tetragonal I4 1/a,10.1,53200,,-57,150
LiMg0.9 Zn 0.1PO4+0.12 Vf TiO 2,950,"Orthorhombic Pmnb
type",10.1,52900,,-5,73
La2Mo 3O12,930,Monoclinic C2/c,10.1,60000,,-80,162
0.55Li 2WO4-0.45TiO 2,730,Mixture,10.1,32800,,-17,258
Ca5Co 4(VO4) 6,875,Cubic garnet Ia-3d,10.1,95200,10.6,-63,259
CaMoO4-xY2O3-xLi 2O  x=0.066,775,Composite,10.1,66000,,-57,222
AlTeO6-TeO2,900,+,10.2,24300,13.3,,213
Y3Al 5O12 +1.3 wt%TiO 2,1550,Garnet Cubic Ia3d,10.2,80100,,-30,260
Bi 6B10O24,700,Orthorhombic Pnma,10.2,10750,,-41,261
0.9(0.79ZnAl 2O4-0.21Mg2TiO4)-0.1TiO 2,1450,Composite,10.2,158000,,-64,262
"Al 2O3 , TiO2 doped",,Trigonal R-3c,10.2,119150,,,263
"(1-x)LiYW2O8-xBaWO4 +y wt% B 2O3 (x=0.46
y=0.5",900,Mixed phases,10.2,24300,,-21,43
Ce2(WO4) 3,1025,Monoclinic C2/c,10.2,10500,,-25,264
Ba3ZrV 4O15,800,Orthorhombic Pnma,10.2,30600,8.5,-102,265
0.88ZnAl 2O4-0.12TiO 2,1380,Composite,10.3,79800,11.1,-22,179
Mg3Yb 4Al 44O75,1680,Magnetoplumbite,10.3,41000,,-57,132
Mg3Dy4 Al 44O75,1680,Magnetoplumbite,10.3,28000,,-49,132
CaMo 1.02O4,1300,Tetragonal I4 1/a,10.3,71000,,,266
NdPO4,1300,P12 1/n1 Monozite,10.3,59500,,-47,133
SmPO 4,1400,Monoclinic P2 1/n,10.3,60500,,-54,133
Li 3SbO4+1 wt% B 2O3,930,Monoclinic P2/c,10.3,14600,13.5,-28,267
BaLa2(MoO4),800,Monoclinic,10.3,29800,,-76,268
(K0.5 La0.5 )MoO4,680,Tetragonal I4 1/a,10.3,59000,,-81,269
Yb 3Al2O12,1650,Cubic Garnet Ia-3d,10.3,12900,,-70,270
LaPO4,1400,Monoclinic P2 1/n,10.4,64500,,-56,133
SrEr 4Si 3O13,1500,Hexagonal apatite P6 3/m,10.4,18100,,-24,228
Sr 2V 2O7,1000,Anorthic P-1,10.4,19500,,-35,271
Ba2V 2O7,920,Anorthic P-1,10.4,51600,,-20,271
Y3Al 5O12,1650,Cubic Ia3d,10.4,440000,,-50,272
SrCe2(MoO4) 4,840,,10.4,54100,8.08,-46,273
MgO-1.2Al 2O3-2.8SiO 2-1.2TiO 2-0.8CeO 2,1150,Composite,10.4,15300,,-5,274
ZnGa2O4,1385,Cubic spinel Fd3m,10.4,94600,,-27,275
CaWO4,1100,Scheelite Tetragonal I4 1/a,10.4,76500,,-24,44
CAS-TB glass (CaO:Al 2O3:SiO 2:TiO2:B2 O3),950,Composite,10.5,14200,10,-20,148
"0.83ZnAl 2O4-0.17TiO 2+10 wt% BBSZ +0.3
wt% LiF",925,Composite,10.5,14500,5.5,-28,244
MgTe2O5,700,Orthorhombic Pbcn,10.5,61000,5.3,-45,276
LiCa3MgV 3O12,900,Cubic garnet Cubic Ia3d,10.5,74700,,-61,277
Mg2V 2O7,950,Triclinic Anorthic P-1,10.5,58200,,-27,278
Er 3Al2O12,1600,Cubic Garnet Ia-3d,10.5,11700,,-45,270
Yb 3Al 2O12+1 wt% Ga2O3,1600,Cubic Garnet,10.5,50000,,-50,270
Na0.5 Nd 0.5 MoO4,760,,10.5,19600,,-49,279
0.83ZnAl 2O4-0.17TiO 2+15 wt% BBSZ glass,950,Composite,10.6,9300,5.5,-29,244
MgTiO 3-CaTiO 3 (MMT-20) + SiO 2-B2O3 -BaO,900,Composite,10.6,6000,7,,161
Ca3ZrSi 2O9,1400,Monoclinic P2 1/a,10.6,93300,,-77,173
CaZrB 2O6+3 wt% Bi 2O3-CuO,925,,10.6,87350,,2,157
Ba3SrSb 2O9,,"Complex
P-I",10.6,4600,9,,219
0.8SrMoO 4-TiO2.+3wt% H 3BO3-CuO,875,Composite,10.6,72000,,-19,280
Y2BaCu 0.7 Mg.0.3 O5 CIP,1250,Orthorhombic Pbnm,10.6,29300,12.3,-44,113
0.8BaMoO 4-0.2TiO 2,1275,Composite,10.6,51800,,-56,205
0.55Li 2MoO4-0.45TiO 2,700,Mixture,10.6,30000,,-5,258
0.75MgAl 2O4-0.25TiO 2,1450,Composite,10.7,105400,7.5,-12,176
CoWO4,1200,Wolframite Monoclinic P2/c,10.7,38600,,,239
0.87[0.79ZnAl 2O4-0.21Co 2TiO4]-0.13TiO 2,1350,Composite,10.7,86700,,-62,281
Ba3ZrV 4O15,800,Orthorhombic Pnma,10.7,30600,,-106,265
Sm2Mo 4O15,690,Triclinic (PI-),10.7,63500,11.6,-50,282
LiMg4V 3O12,740,Tetragonal,10.7,24000,9.65,-12,283
BaZnV 2O7,720,Orthorhombic,10.7,31000,11.7,-64,166
0.9ZnAl 2O4-0.08CaTiO 3,,Composite,10.8,32300,,0,284
CaMoO4,1100,Scheelite Tetragonal I4 1/a,10.8,89700,,-23,44204
Nano Al 2O3+0.5 wt% TiO 2,1400,Trigonal R-3c,10.8,680000,14,,285
CaCu 2Nb 2O8 +3 wt% V 2O5,935,,10.8,9300,,-16,286
Er 3Al 2O12+1 wt% Ga2O3,1550,Cubic Garnet,10.8,12600,,-37,270
CaGe2O5,1180,Monoclinic Pbam,10.9,39000,10,,200
Y3Al 2O12 +1 wt% Ga2O3,1600,Cubic Garnet,10.9,25000,,-33,270
0.7Ca2P 2O7-0.3TiO 2,1200,Composite,10.9,44000,,-11,287
0.83ZnAl 2O4-0.17TiO 2+10 wt% BBSZ glass,950,Composite,10.9,12000,5.5,-23,244
Ba2V 2O7+6 mol% Li 2CO3,750,Anorthic P-1,10.9,74500,,-20,288
CaWO4,,Scheelite tetragonal I4 1/a,10.9,105600,,,204
Sr 2ZnTeO6+1 wt% ZnO-B2O3-P 2O5-TeO2 glass,950,Not available,10.9,4250,,-57,289
Ca2ZnSi 2O7,1300,Tetragonal P-42 1m,11,13500,,-64,121
MgO-Al 2O3-SiO 2-TiO2-CeO2,1100,Composite,11,12100,,26,290
0.76Mg2SiO 4 -0.24TiO 2,,Composite,11,85000,,0,98291
Mg3(VO4) 2-0.2Ba3(VO4) 2,950,Composite,11,114000,,-58,292
Sm2BaCuO5:Co,,Orthorhombic Pnma,11,89000,,-7,293
NdBO3,,Aragonite Orthorhombic,11,17000,,,123
Ba2MgTeO6+0.2 wt% B 2O3,1200,Orthorhombic Pnam,11,25000,5.5,-16,294
Sr 2CaSi 2O7,1300,Akermite Tetragonal P4-2 1m,11,13500,,-64,121
Mg2SiO 4+24 wt% TiO 2,1200,Composite,11,82000,,0,77
Al 2O3,1550,Trgonal R-3c,11,680000,,-65,211
TiO2-B2O3-: Ca-Al-Si-) glass,,Glass,11,1400,10,,148
Mg5Ta4O15 (MgO calcined),1560,"Psuedo-brookite Orthorhombic
Cmcm",11,18100,9.06,-54,295
Mg5Nb 4O15 (MgO calcined),1450,"Psuedo-brookite Orthorhombic
Cmcm",11,37400,8.3,-53,295
Mg4Nb 2O9,1300,Trigonal P-3c1,11,210000,,-70,249
0.50Li 2WO4-0.5TiO 2,730,Mixture,11,32000,,-3,258
TiP 2O7,1250,Pyrophosphate,11,77000,,-14,296
(Mg4-xMn x)Nb 2O9,,Corundum Trigonal P-3c1,13.5,34500,,,297
PbO:B 2O3 (40:60) glass,469,Glass,11.1,1320,12.22,-43,81
CePO4,1400,Monoclinic P2 1/n,11.1,68500,,-46,133
Nd 4Mo 4O15,700,Triclinic (PI- ),11.1,61500,12,-44,282
0.35Ba3(VO4) 2-0.65BaWO 4,925,Composite,11.1,79100,,-2,298
0.8(0.79ZnAl 2O4-0.21Mg2TiO4)-0.2TiO 2,1450,Composite,11.1,155100,,-62,262
Li 2Zn 2Mo 3O12,630,Lyonsite orthorhombic Pnma,11.1,70000,14.6,-90,188
0.8[0.79ZnAl 2O4-0.21 Co 2TiO4 ]-0.2TiO 2,1350,Composite,11.1,98700,,-63,281
Tb 2Al 2O12 +1 wt% Ga2O3,1500,Cubic Garnet,11.1,30000,,-32,270
Y3Al 2O12 +1 wt% Nb 2O5,1625,Cubic Garnet,11.2,120000,,-48,270
NiCu 2Nb 2O8 +3 wt% V 2O5,935,,11.2,5760,,-11,286
Cu 3Nb 2O8,910,Anorthic,11.2,25560,,-4,286
SrTm4Si 3O13,1650,Monoclinic apatiteP2 1/m,11.2,14400,,-20,228
SrEr 4Si 3O13 +0.5 wt% ZBS glass,,Hexagonal apatite P6 3/m,11.2,21000,,-20,228
Ba3(PO4) 2-0.2BaWO 4,1100,Composite,11.2,71985,,1.5,212
Na0.5 Ce0.5 MoO4,780,,11.2,19400,,-44,299
Mg5Nb 4O15 Sol-gel,1300,Psuedo brookite Orthorhombic,11.3,43300,,-58,300
